NACA 0018 
NONE        0.18       0.0 
0       20000.    1.0      -1.0
0       40000.    4.0      -4.0
0       80000.    5.0      -5.0
0      160000.    5.0      -5.0
0      360000.    4.0      -4.0
0      700000.    5.0      -5.0
0     1000000.    6.0      -6.0
0     2000000.    6.0      -6.0
1     5000000.    7.0      -7.0
    10000. NACA 0018 SECTION (EPPLER)  JAN 79
0     0.00    0.0000    0.0385
0     1.00   -0.0045    0.0387
0     2.00   -0.0154    0.0391
0     3.00   -0.0233    0.0399
0     4.00   -0.0368    0.0410
0     5.00   -0.0577    0.0425
0     6.00   -0.0839    0.0443
0     7.00   -0.1182    0.0463
0     8.00   -0.1501    0.0489
0     9.00   -0.1584    0.0525
0    10.00   -0.1423    0.0574
0    11.00   -0.1125    0.0800
0    12.00   -0.0767    0.1230
0    14.00    0.0085    0.1580
0    16.00    0.1051    0.1960
0    18.00    0.2070    0.2380
0    20.00    0.3111    0.2820
0    22.00    0.4172    0.3290
0    25.00    0.5775    0.4050
0    30.00    0.8550    0.5700
0    35.00    0.9800    0.7450
0    40.00    1.0350    0.9200
0    45.00    1.0500    1.0750
0    50.00    1.0200    1.2150
0    55.00    0.9550    1.3450
0    60.00    0.8750    1.4700
0    65.00    0.7600    1.5750
0    70.00    0.6300    1.6650
0    75.00    0.5000    1.7350
0    80.00    0.3650    1.7800
0    85.00    0.2300    1.8000
0    90.00    0.0900    1.8000
0    95.00   -0.0500    1.7800
0   100.00   -0.1850    1.7500
0   105.00   -0.3200    1.7000
0   110.00   -0.4500    1.6350
0   115.00   -0.5750    1.5550
0   120.00   -0.6700    1.4650
0   125.00   -0.7600    1.3500
0   130.00   -0.8500    1.2250
0   135.00   -0.9300    1.0850
0   140.00   -0.9800    0.9250
0   145.00   -0.9000    0.7550
0   150.00   -0.7700    0.5750
0   155.00   -0.6700    0.4200
0   160.00   -0.6350    0.3200
0   165.00   -0.6800    0.2300
0   170.00   -0.8500    0.1400
0   175.00   -0.6600    0.0550
1   180.00    0.0000    0.0250
    20000. NACA 0018 SECTION (EPPLER)  JAN 79
0     0.00    0.0000    0.0286
0     1.00    0.0607    0.0288
0     2.00    0.1135    0.0292
0     3.00    0.1550    0.0299
0     4.00    0.1788    0.0310
0     5.00    0.1788    0.0323
0     6.00    0.1582    0.0339
0     7.00    0.1161    0.0358
0     8.00    0.0214    0.0376
0     9.00   -0.0682    0.0396
